Work ID,Internal ID,Type,Status,Scheduled Build Name,Subject,KI Reporting Customers,Known Issue ID,Known Issue Link,Scrum Team Name,Theme: Theme Name,MD Type
W-4912258,a07B0000004w3yz,Bug,New,Backlog,AccessControlPolicy requires explicit Namespace references when deploying to a Namespaced org,,,No Known Issue,ALM - Artifacts,MD1_AccessControlPolicy,AccessControlPolicy
W-4681807,a07B0000004fe1S,User Story,Never,,Allow Enablement of Contacts to Multiple Accounts in Metadata API,,,No Known Issue,Accounts,MD1_AccountSettings,AccountSettings
W-4681853,a07B0000004fe34,User Story,New,,"Expose ""Allow Users to Relate Multiple Contacts to Tasks and Events"" in ActivitiesSettings in Metadata API",,,No Known Issue,Activities,MD1_ActivitiesSettings,ActivitiesSettings
W-4475937,a07B0000004Mzr9,Bug,Waiting,214.internal,Edits to newly created Apex Class and not picked up as source change,,,No Known Issue,Metadata One,MD1_ApexClass,ApexClass
W-4669242,a07B0000004fKx7,Bug,New,216,Source Members are not created for ApexTriggers,,,No Known Issue,Metadata and Tooling APIs,MD1_ApexTrigger,ApexTrigger
W-4984264,a07B00000054I81,Bug,New,216,Support AppMenu in source tracking,,,No Known Issue,Metadata One,MD1_AppMenu,AppMenu
W-4317434,a07B00000041BKJ,Bug,New,214.internal,Aura bundle component deletes are not creating source members if the Aura bundle is created by a push,,,No Known Issue,Metadata One,MD1_AuraDefinitionBundle,AuraDefinitionBundle
W-4420048,a07B0000004CJ6Z,Bug,Closed,216,Pushing a deleted AuraDefinition (not the cmp file) does not set isNameObsolete to true,,,No Known Issue,Metadata One,MD1_AuraDefinitionBundle,AuraDefinitionBundle
W-5006670,a07B0000004xgmv,Bug,New,,Metadata cannot be pulled after first authentication with Lightning for GMail,,,No Known Issue,Metadata One,MD1_AuthProvider,AuthProvider
W-4985107,a07B00000054Iwa,Bug,New,216,Support Bot in source tracking,,,No Known Issue,Metadata One,MD1_Bot,Bot
W-4985108,a07B00000054Iwf,Bug,New,216,Support BotVersion in source tracking,,,No Known Issue,Metadata One,MD1_BotVersion,BotVersion
W-2453498,a07B00000013NxG,User Story,New,Backlog,Include Business Hours as part of Change Sets,,,No Known Issue,Field Service,MD1_BusinessHoursEntry,BusinessHoursEntry
W-4984248,a07B00000054I7I,Bug,New,216,Support CaseSubjectParticle in source tracking,,,No Known Issue,Metadata One,MD1_CaseSubjectParticle,CaseSubjectParticle
W-3404022,a07B0000002ZJmd,Bug,Triaged,Backlog,Attempting to modify ChatterAnswersSettings via Tooling API results in an error,,,No Known Issue,Embedded Service for Web,MD1_ChatterAnswersSettings,ChatterAnswersSettings
W-4660876,a07B0000004fAYa,User Story,New,Backlog,"Expose ""enable end-user languages"" and ""enable platform-only languages"" settings in Metadata API to allow for automation with Salesforce DX flows",,,No Known Issue,Globalization,MD1_CompanySettings,CompanySettings
W-4986666,a07B00000054KLw,Bug,New,216,Support ConnectedApp in source tracking,,,No Known Issue,Metadata One,MD1_ConnectedApp,ConnectedApp
W-4157334,a07B0000003Yb2e,Bug,New,216,[ATL] Deleting a custom field should remove references with force:source:pull,8,a1p3A0000018BmnQAE,"<a href=""https://success.salesforce.com/issues_view?id=a1p3A0000018BmnQAE"" target=""_knownissue"">View Known Issue (8 reports)</a>",Metadata One,MD1_CustomField,CustomField
W-4632069,a07B0000003uRsG,Bug,New,216,force:source:status gave me no result when deleting a custom label in scratch org. force:source:pull worked,,,No Known Issue,Platform Dev Tools,MD1_CustomLabels,CustomLabels
