Metadata Type,Metadata API,Source Tracking (force:source:push/pull),Unlocked Packaging
AccessControlPolicy,TRUE,Expanded Source Tracking (Beta),Requires Package without a Namespace
AccountSettings,TRUE,TRUE,FALSE
ActionLinkGroupTemplate,TRUE,TRUE,TRUE
ActivitiesSettings,TRUE,TRUE,FALSE
AddressSettings,TRUE,TRUE,FALSE
AnalyticSnapshot,TRUE,TRUE,TRUE
ApexClass,TRUE,TRUE,TRUE
ApexComponent,TRUE,TRUE,TRUE
ApexPage,TRUE,TRUE,TRUE
ApexTestSuite,TRUE,TRUE,Requires Package without a Namespace
ApexTrigger,TRUE,TRUE,TRUE
AppMenu,TRUE,FALSE,FALSE
ApprovalProcess,TRUE,TRUE,FALSE
AssignmentRules,TRUE,TRUE,FALSE
AuraDefinitionBundle,TRUE,TRUE,TRUE
AuthProvider,TRUE,TRUE,Requires Package without a Namespace
AutoResponseRules,TRUE,TRUE,FALSE
Bot,TRUE,FALSE,Requires Package without a Namespace
BotVersion,TRUE,FALSE,Requires Package without a Namespace
BrandingSet,TRUE,TRUE,TRUE
BusinessHoursEntry,TRUE,TRUE,TRUE
BusinessHoursSettings,TRUE,TRUE,FALSE
BusinessProcess,TRUE,TRUE,TRUE
CallCenter,TRUE,TRUE,Requires Package without a Namespace
CampaignInfluenceModel,TRUE,TRUE,TRUE
CaseSettings,TRUE,TRUE,FALSE
CaseSubjectParticle,TRUE,Expanded Source Tracking (Beta),TRUE
CaseTeam,TRUE,Expanded Source Tracking (Beta),TRUE
CaseTeamRole,TRUE,Expanded Source Tracking (Beta),TRUE
Certificate,TRUE,Expanded Source Tracking (Beta),TRUE
ChannelLayout,TRUE,TRUE,TRUE
ChatterAnswersSettings,TRUE,TRUE,FALSE
ChatterExtension,TRUE,TRUE,TRUE
CleanDataService,TRUE,TRUE,TRUE
CMSConnectSource,TRUE,TRUE,Requires Package without a Namespace
Community,TRUE,TRUE,FALSE
CommunityTemplateDefinition,TRUE,TRUE,TRUE
CommunityThemeDefinition,TRUE,TRUE,TRUE
CompactLayout,TRUE,TRUE,TRUE
CompanySettings,TRUE,TRUE,FALSE
ConnectedApp,TRUE,FALSE,FALSE
ContentAsset,TRUE,TRUE,TRUE
ContractSettings,TRUE,TRUE,FALSE
CorsWhitelistOrigin,TRUE,TRUE,TRUE
CspTrustedSite,TRUE,TRUE,TRUE
CustomApplication,TRUE,TRUE,TRUE
CustomApplicationComponent,TRUE,TRUE,TRUE
CustomDataType,TRUE,TRUE,TRUE
CustomFeedFilter,TRUE,TRUE,FALSE
CustomField,TRUE,TRUE,TRUE
CustomLabels,TRUE,TRUE,TRUE
CustomMetadata,TRUE,TRUE,TRUE
CustomNotificationType,TRUE,TRUE,TRUE
CustomObject,TRUE,TRUE,TRUE
